region,site,plot,long,lat,HAND,HAND_floo,dsl,prec,storm,logSB,logCa,logMg,logK,logAl,pH,logHAND,lma.cwM,lma.cwSD,alt.cwM,alt.cwSD,ses.cwM,ses.cwSD,pc1.cwM,pc1.cwSD,pc2.cwM,pc2.cwSD,riq,Al2,site2
BR319,BR319_M03,M03_TN_0500,-60.72872504,-4.127587918,-0.6465471505256705,-0.6350140494228711,-1.6527614776915314,1.1835770276226216,1.1960935278627836,-0.5287143243600247,-0.30442150722551303,-0.42108069176705387,-0.48295108025762135,0.3486292528331288,0.4209526597543408,-0.48302651652159606,48.6753318183618,11.313726591894955,1.6287267080745338,1.6405391367856448,0.41319282153438397,0.21284829284664986,-0.8007290349435952,1.1773177460658768,0.6675988500260485,0.5772100931539025,13,0.17786116776959565,BR319_M03
BR319,BR319_M03,M03_TN_1500,-60.72544067,-4.135969738,-0.6124735071614615,-0.601158421301347,-1.6683131605377337,1.2173014782602933,1.1802463136584063,-0.5659308622325807,-0.6111318959296795,-0.23473947378559779,-0.48295108025762135,1.2338226574923845,-0.3945852953521462,-0.4049077711585972,49.43155374832741,11.444280803842448,1.4666226946384961,1.3499127683001348,0.4062753265930038,0.23596495605219192,-0.8031959022016463,0.9657650918691998,0.6225094612435761,0.6495169664347256,13,1.8737194717774432,BR319_M03
BR319,BR319_M03,M03_TN_2500,-60.72227013,-4.14447628,-0.5622437334320483,-1.0151505940529617,-1.6683131605377337,1.2173014782602933,1.1641311513877715,-0.8302623809702114,-0.6111318959296795,-0.6491439107729605,-1.0915803915569517,0.10176774120155026,-0.1859593068365342,-0.3000253088228926,50.86719637714711,8.938644617209789,1.0307590246846554,0.8126524694975837,0.3285487111018576,0.18566969556494015,-0.64394841482632,0.8289009257750474,0.37261780185028837,0.5346154019559161,12,-0.15941240398517867,BR319_M03
BR319,BR319_M03,M03_TN_3500,-60.71902852,-4.152825913,-0.5936449341794565,-0.5824503202003264,-1.6683131605377337,1.2173014782602933,1.1413241228705486,-0.3632303992163067,0.012406452457029395,-0.42108069176705387,-0.7617872274586978,0.6915904832917608,-0.015265316232849331,-0.3642678051001791,49.863975780302276,10.845594364088587,1.899254658385093,1.9957447663318288,0.41869805079443734,0.2279955966756114,-0.913171674438715,1.3291280780322168,0.6608488266702821,0.5824539216986659,16,0.7341922936564265,BR319_M03
BR319,BR319_M03,M03_TN_4500,-60.71582026,-4.161277302,-0.11011503253512873,-0.10201421418347453,-1.6683131605377337,1.2173014782602933,1.121850040197899,-0.3335849618901829,0.012406452457029395,-0.32366919911047975,-0.7617872274586978,0.8250011104271462,-0.3376872984842521,0.3361892235058799,40.78510524326182,15.348761106157106,1.0494347379239464,1.6057066497899857,0.38864667409331566,0.16066311619049295,-0.17986751349038968,1.2008786437113936,0.8156937377464237,0.5195934577214166,11,0.9822841762200111,BR319_M03
BR319,BR319_M03,M03_TS_0500,-60.73597597,-4.133011345,-0.42139386006021096,-0.41130136948260354,-1.6683131605377337,1.2173014782602933,1.1851650745889921,-0.42571816551055663,-0.3915601223077018,-0.42108069176705387,0.3346242339605516,0.8712795078638657,0.19336067228276269,-0.05453924642031348,45.21185562096561,11.276064035206034,1.5587301587301587,1.645949489942136,0.4810446876615079,0.3268648253295119,-0.6393695033318332,1.2317090414993115,0.8667349368035461,0.6955489810108288,10,1.0729231363036509,BR319_M03
BR319,BR319_M03,M03_TS_3500,-60.72572138,-4.157924037,-0.38750242869260204,-0.37762678750076667,-1.6683131605377337,1.2173014782602933,1.1460186823579408,-0.8302623809702114,-0.7567487403575472,-0.9431685380016365,-0.48295108025762135,0.9870648393402227,-0.2618233026603927,-0.0036246166236165245,38.48216711350183,13.815730346746909,0.8791208791208791,1.4720166083222914,0.3920748311226528,0.15359479512558508,-0.023697516343174272,1.1993168443088205,0.8814696681903301,0.39086906784105024,9,1.3106347805750143,BR319_M03
BR319,BR319_M04,M04_TN_(-)0500,-60.94880347,-4.376303041,-0.905834821687539,-1.000666902877978,-1.7128760905890539,1.8131665165495001,1.2937414588660843,-0.3632303992163067,-0.4921542709203511,-0.32366919911047975,0.6368007627561305,0.6747804980147026,1.141660620081004,-1.4602817511548838,56.33568536673853,9.889635301425793,2.827019163300852,1.896660138232598,0.4813705869599766,0.1350418303644223,-1.7436794386056116,1.1425294292219486,0.8351416939538332,0.2934021892445087,6,0.7042709324115103,BR319_M04
BR319,BR319_M04,M04_TN_1500,-60.93640907,-4.390661912,-0.7750066081287045,-0.7626515779024141,-1.651894416484463,1.8441722454584992,1.2795798567315813,-0.7330003846385286,-0.9444815040523856,-1.1295097559830927,0.3346242339605516,0.344490706348592,0.34508866393048143,-0.8505792195032861,66.71804827586207,8.445217788514212,1.6655172413793105,0.7737501666483501,0.31358139492342246,0.17084579930571986,-1.6641569851476246,0.24915044207670356,0.14161068955768671,0.7329085968431704,4,0.17180012166798977,BR319_M04
BR319,BR319_M04,M04_TN_2500,-60.92947187,-4.396076454,-0.8390237562675213,-0.8262591216458838,-1.651894416484463,1.8441722454584992,1.2333383090725882,-0.3939162372011859,-0.4921542709203511,-0.32366919911047975,0.3346242339605516,0.4607494794898279,-0.3187212995282868,-1.1025237352557031,67.88719234550781,8.997065635821196,1.678125,0.9552740321260144,0.2891711430377701,0.18632914353859456,-1.6907439710369918,0.28283311943046924,0.029352923683345605,0.7712649038979952,5,0.3477201019721538,BR319_M04
